id,asset,year,scenario,period_block_start,period_block_end,solution,dual_balance_storage_over_clustered_year,dual_max_storage_level_over_clustered_year_limit,dual_min_storage_level_over_clustered_year_limit
1,hydro_reservoir,2030,0,1,1,,-0.024999999999999925,0.0,0.0
2,hydro_reservoir,2030,0,2,2,,-0.024999999999999925,0.0,0.0
3,hydro_reservoir,2030,0,3,3,,-0.024999999999999925,0.0,0.0
4,hydro_reservoir,2030,0,4,4,,-0.024999999999999925,0.0,0.0
5,hydro_reservoir,2030,0,5,5,,-0.024999999999999925,0.0,0.0
6,hydro_reservoir,2030,0,6,6,,-0.024999999999999925,0.0,0.0
7,hydro_reservoir,2030,0,7,7,,-0.024999999999999925,0.0,0.0
8,hydro_reservoir,2030,0,8,8,,-0.024999999999999925,0.0,0.0
9,hydro_reservoir,2030,0,9,9,,-0.024999999999999925,0.0,0.0
10,hydro_reservoir,2030,0,10,10,,-0.024999999999999925,0.0,0.0
11,hydro_reservoir,2030,0,11,11,,-0.024999999999999925,0.0,0.0
12,hydro_reservoir,2030,0,12,12,,-0.024999999999999925,0.0,0.0
13,hydro_reservoir,2030,0,13,13,,-0.024999999999999925,0.0,0.0
14,hydro_reservoir,2030,0,14,14,,-0.024999999999999925,0.0,0.0
15,hydro_reservoir,2030,0,15,15,,-0.024999999999999925,0.0,0.0
16,hydro_reservoir,2030,0,16,16,,-0.024999999999999925,0.0,0.0
17,hydro_reservoir,2030,0,17,17,,-0.024999999999999925,0.0,0.0
18,hydro_reservoir,2030,0,18,18,,-0.024999999999999925,0.0,0.0
19,hydro_reservoir,2030,0,19,19,,-0.024999999999999925,0.0,0.0
20,hydro_reservoir,2030,0,20,20,,-0.024999999999999925,0.0,0.0
21,hydro_reservoir,2030,0,21,21,,-0.024999999999999925,0.0,0.0
22,hydro_reservoir,2030,0,22,22,,-0.024999999999999925,0.0,0.0
23,hydro_reservoir,2030,0,23,23,,-0.024999999999999925,0.0,0.0
24,hydro_reservoir,2030,0,24,24,,-0.024999999999999925,0.0,0.0
25,hydro_reservoir,2030,0,25,25,,-0.024999999999999925,0.0,0.0
26,hydro_reservoir,2030,0,26,26,,-0.024999999999999925,0.0,0.0
27,hydro_reservoir,2030,0,27,27,,-0.024999999999999925,0.0,0.0
28,hydro_reservoir,2030,0,28,28,,-0.024999999999999925,0.0,0.0
29,hydro_reservoir,2030,0,29,29,,-0.024999999999999925,0.0,0.0
30,hydro_reservoir,2030,0,30,30,,-0.024999999999999925,0.0,0.0
31,hydro_reservoir,2030,0,31,31,,-0.024999999999999925,0.0,0.0
32,hydro_reservoir,2030,0,32,32,,-0.024999999999999925,0.0,0.0
33,hydro_reservoir,2030,0,33,33,,-0.024999999999999925,0.0,0.0
34,hydro_reservoir,2030,0,34,34,,-0.024999999999999925,0.0,0.0
35,hydro_reservoir,2030,0,35,35,,-0.024999999999999925,0.0,0.0
36,hydro_reservoir,2030,0,36,36,,-0.024999999999999925,0.0,0.0
37,hydro_reservoir,2030,0,37,37,,-0.024999999999999925,0.0,0.0
38,hydro_reservoir,2030,0,38,38,,-0.024999999999999925,0.0,0.0
39,hydro_reservoir,2030,0,39,39,,-0.024999999999999925,0.0,0.0
40,hydro_reservoir,2030,0,40,40,,-0.024999999999999925,0.0,0.0
41,hydro_reservoir,2030,0,41,41,,-0.024999999999999925,0.0,0.0
42,hydro_reservoir,2030,0,42,42,,-0.024999999999999925,0.0,0.0
43,hydro_reservoir,2030,0,43,43,,-0.024999999999999925,0.0,0.0
44,hydro_reservoir,2030,0,44,44,,-0.024999999999999925,0.0,0.0
45,hydro_reservoir,2030,0,45,45,,-0.024999999999999925,0.0,0.0
46,hydro_reservoir,2030,0,46,46,,-0.024999999999999925,0.0,0.0
47,hydro_reservoir,2030,0,47,47,,-0.024999999999999925,0.0,0.0
