id,asset,year,scenario,period_block_start,period_block_end,solution
1,hydro_reservoir,2030,0,1,1,202.27715020826957
2,hydro_reservoir,2030,0,2,2,202.28354641307246
3,hydro_reservoir,2030,0,3,3,201.84935088735128
4,hydro_reservoir,2030,0,4,4,201.94651044889207
5,hydro_reservoir,2030,0,5,5,202.77578240082195
6,hydro_reservoir,2030,0,6,6,203.501856199507
7,hydro_reservoir,2030,0,7,7,204.03201461689983
8,hydro_reservoir,2030,0,8,8,204.72158578314938
9,hydro_reservoir,2030,0,9,9,205.56318809879477
10,hydro_reservoir,2030,0,10,10,206.04944527978466
11,hydro_reservoir,2030,0,11,11,207.14663617236602
12,hydro_reservoir,2030,0,12,12,208.41912436877445
13,hydro_reservoir,2030,0,13,13,209.32605876921718
14,hydro_reservoir,2030,0,14,14,209.11105177285256
15,hydro_reservoir,2030,0,15,15,209.29000272215504
16,hydro_reservoir,2030,0,16,16,210.17035690790922
17,hydro_reservoir,2030,0,17,17,211.53176927767242
18,hydro_reservoir,2030,0,18,18,212.85991726982763
19,hydro_reservoir,2030,0,19,19,214.21701602243846
20,hydro_reservoir,2030,0,20,20,215.5946764531827
21,hydro_reservoir,2030,0,21,21,216.92107822446008
22,hydro_reservoir,2030,0,22,22,218.09958247096387
23,hydro_reservoir,2030,0,23,23,218.94615172067745
24,hydro_reservoir,2030,0,24,24,220.11608496022546
25,hydro_reservoir,2030,0,25,25,221.1613348881678
26,hydro_reservoir,2030,0,26,26,221.82974974878607
27,hydro_reservoir,2030,0,27,27,222.79150002515902
28,hydro_reservoir,2030,0,28,28,223.88663371545823
29,hydro_reservoir,2030,0,29,29,225.0925745376557
30,hydro_reservoir,2030,0,30,30,226.18231851048088
31,hydro_reservoir,2030,0,31,31,226.94563803102622
32,hydro_reservoir,2030,0,32,32,227.27609430467447
33,hydro_reservoir,2030,0,33,33,227.70662725938516
34,hydro_reservoir,2030,0,34,34,228.1626404667713
35,hydro_reservoir,2030,0,35,35,228.05418933106375
36,hydro_reservoir,2030,0,36,36,227.35383239572025
37,hydro_reservoir,2030,0,37,37,227.48615208736095
38,hydro_reservoir,2030,0,38,38,228.32776333575805
39,hydro_reservoir,2030,0,39,39,229.2337748571091
40,hydro_reservoir,2030,0,40,40,230.22025104904822
