year,scenario,timestep,wind_onshore,demand
2030,0,1,0.25,0.75
2030,0,2,0.25,0.5
2030,0,3,0.5,0.75
2030,0,4,0.5,0.5
2030,0,5,0.4073362807856522,0.6125847351490484
2030,0,6,0.36935178585820444,0.6757824622508004
2030,0,7,0.41833653640987406,0.5414736086982835
2030,0,8,0.40336955625021104,0.667085081989432
2030,0,9,0.36425777270042603,0.5748413238484402
2030,0,10,0.4152858431548426,0.6598578405105873
2030,0,11,0.335661980725337,0.56696760959973
2030,0,12,0.3789678520873755,0.5225057540108492
2030,0,13,0.31816436144857346,0.5478905506492345
2030,0,14,0.3558978141181497,0.6211755918483004
2030,0,15,0.2701442147016422,0.628837841627382
2030,0,16,0.29912721670318276,0.6501280913233789
2030,0,17,0.34942667471699573,0.5789823651062054
2030,0,18,0.3585317117961744,0.7146686833641102
2030,0,19,0.32990791967818545,0.6409163421599442
2030,0,20,0.33047754807318774,0.5394797665068121
2030,0,21,0.4304956837601711,0.5930866573326095
2030,0,22,0.257546387509802,0.5198334723618352
2030,0,23,0.4159394988844967,0.6230145429308528
2030,0,24,0.42830657690710905,0.5413652118135953
2030,0,25,0.3818114222254064,0.6156774989425438
2030,0,26,0.4634752392795064,0.5434406956098032
2030,0,27,0.32404496406444155,0.7499212775809035
2030,0,28,0.3390192929366167,0.6828693594838795
2030,0,29,0.4393281208578329,0.6547934397597289
2030,0,30,0.3198854925239344,0.5800321966365266
2030,0,31,0.38710006356017734,0.6549605186395263
2030,0,32,0.3361908142372697,0.5278921914402057
2030,0,33,0.27030825435715256,0.7087501680410644
2030,0,34,0.48871981321633917,0.5546793676142605
2030,0,35,0.4137253679509748,0.5702720578579524
2030,0,36,0.3411981607191865,0.7118686824216922
2030,0,37,0.4215490609151611,0.6748064491697371
2030,0,38,0.3383491684542569,0.5165172477663771
2030,0,39,0.2986276637503635,0.7409525839091896
2030,0,40,0.33985108613238235,0.6948216804373832
2030,0,41,0.42781813172893857,0.6979344461191219
2030,0,42,0.26848685368335146,0.6739603965242003
2030,0,43,0.2751548295594164,0.6558611711609262
2030,0,44,0.48715258193361444,0.6088906252295777
2030,0,45,0.49338611852285014,0.7343886221036915
2030,0,46,0.4348568302037812,0.6039129819628967
2030,0,47,0.44280433640993744,0.6469047542624734
2030,0,48,0.33790665583579826,0.5215870977339989
2030,0,49,0.42558388480598075,0.6395777387775516
2030,0,50,0.32483964127745873,0.6331080501003425
2030,0,51,0.4588918141461672,0.615768252029889
2030,0,52,0.2791378254432769,0.6120020230959081
2030,0,53,0.2511042611627712,0.6983382135654312
2030,0,54,0.48737155598170423,0.5673729841355528
2030,0,55,0.3137974670888227,0.7196691261727584
2030,0,56,0.3296976196298408,0.6561550587043496
2030,0,57,0.4106248620138404,0.620087438087976
2030,0,58,0.2961127869384489,0.6997483909660934
2030,0,59,0.31115546200061917,0.5110964718001414
2030,0,60,0.38652646368938126,0.7110305088875907
2030,0,61,0.4739781792382861,0.6724681409159554
2030,0,62,0.41834027402276475,0.7050339717720464
2030,0,63,0.47108655294346313,0.6608995156098709
2030,0,64,0.321973168696437,0.5890317616170624
2030,0,65,0.3984497538176621,0.5847154666696461
2030,0,66,0.3150823084567464,0.5795591544590872
2030,0,67,0.3398577689096927,0.6402253706083165
2030,0,68,0.32669729024542216,0.7288432848506741
2030,0,69,0.31046302985535995,0.6697795390058812
2030,0,70,0.337706293796595,0.7357715098358277
2030,0,71,0.4266899363178032,0.6066309757619734
2030,0,72,0.38723638323654974,0.5317484493881921
2030,0,73,0.45837816098010825,0.5370034144491594
2030,0,74,0.49051584967780687,0.5663210922207832
2030,0,75,0.4689839394901024,0.6570124409842039
2030,0,76,0.34964541853182163,0.6867467756997326
2030,0,77,0.3452933523022321,0.5610631699349728
2030,0,78,0.418325643483803,0.7052732705665408
2030,0,79,0.26706832053913965,0.6256511695044834
2030,0,80,0.3779391710793337,0.5866935453159645
2030,0,81,0.49951318574623926,0.5529976242874819
2030,0,82,0.29345555493748776,0.6364300681735724
2030,0,83,0.2977169144570024,0.5431682800488529
2030,0,84,0.4863654372378228,0.5045885191734141
2030,0,85,0.36662081319405687,0.5115441974958206
2030,0,86,0.44494441023922776,0.6207924396083973
2030,0,87,0.2622151069868707,0.6097743629589467
2030,0,88,0.30682733432483567,0.6210035729688237
2030,0,89,0.3384675191414832,0.7416416139106943
2030,0,90,0.41679513972348653,0.5234051336248499
2030,0,91,0.44991451737084787,0.7356458939040994
2030,0,92,0.4302835794128625,0.7048128392756691
2030,0,93,0.3214014923353119,0.7364378162350622
2030,0,94,0.4098208919055668,0.684211397535002
2030,0,95,0.2775640943472681,0.5328742127243331
2030,0,96,0.4643628682792474,0.6702502159292163
2030,0,97,0.46689680684318086,0.6611518188509629
2030,0,98,0.43707508445778853,0.5373289123831686
2030,0,99,0.3067633706755036,0.6486037541782924
2030,0,100,0.3801309009953651,0.5358256638470751
2030,1,1,0.5,0.75
2030,1,2,0.5,0.5
2030,1,3,0.75,0.75
2030,1,4,0.75,0.5
2030,1,5,0.5010702339481987,0.621145371801662
2030,1,6,0.5829641474930147,0.6807789929714889
2030,1,7,0.5296440481948086,0.5513063786936423
2030,1,8,0.7269035230813768,0.6123148717563035
2030,1,9,0.6895962158804932,0.6965112496739194
2030,1,10,0.6763569045529443,0.7147113518934788
2030,1,11,0.6345554277627572,0.6758328902719252
2030,1,12,0.6852964371581932,0.6948639899913969
2030,1,13,0.5078693710268858,0.5999251027358022
2030,1,14,0.714734365979237,0.7288919081647001
2030,1,15,0.6418753559861319,0.596061782680836
2030,1,16,0.6040218175950176,0.559460966078068
2030,1,17,0.6193322889038454,0.5995718500112133
2030,1,18,0.6790888282728597,0.6823604087551378
2030,1,19,0.6930672365434548,0.6149890978127017
2030,1,20,0.6455821391212949,0.5210494355750269
2030,1,21,0.5294536497333431,0.7272755531481783
2030,1,22,0.6659658617222717,0.621391239472656
2030,1,23,0.7091051749737283,0.5505831168284898
2030,1,24,0.6072699767681071,0.6940771922704977
2030,1,25,0.5071694887844571,0.6049195694811587
2030,1,26,0.6404842327137082,0.695737784231544
2030,1,27,0.516831097746121,0.637710151187278
2030,1,28,0.5422585062221746,0.5541607212150776
